32,F213/12789,Princess,D,0.43,VVS2,EX,VG,None,0.725,0.73,4.32*4.21*3.06,GIA,2336146435,2600,-0.24,1976,849.68,"Feather, Pinpoint"
33,F31/10584,Princess,D,0.42,VVS2,EX,G,Faint,0.742,0.72,4.14*3.99*2.96,GIA,6332624436,2600,-0.24,1976,829.92,"Pinpoint, Cloud, Internal Graining, Indented Natural"
34,F214/9981,Princess,H,0.42,VVS2,EX,VG,Medium,0.728,0.73,4.15*4.03*2.93,GIA,6332247438,2000,-0.24,1520,638.4,"Needle, Pinpoint, Feather, Cloud"
35,F215/13059,Princess,D,0.41,VVS2,EX,VG,None,0.742,0.73,4.11*4.05*3.01,GIA,6335247640,2600,-0.24,1976,810.16,"Feather, Pinpoint"
36,F273/11057,Princess,E,0.4,VVS1,VG,VG,None,0.751,0.75,4.02*3.88*2.91,GIA,7358408126,2600,-0.24,1976,790.4,"Pinpoint, Feather, Cavity"
37,F274/11056,Princess,E,0.4,VVS1,VG,VG,None,0.761,0.73,4.10*3.91*2.98,GIA,5356525972,2600,-0.24,1976,790.4,"Cloud, Pinpoint"
38,F272/9225,Princess,H,0.4,VVS2,VG,VG,Faint,0.73,0.72,4.14*4.09*2.99,GIA,6352267041,2000,-0.23,1540,616,"Neddle, Cloud, Pinpoint"
39,F189/8496,Princess,F,0.37,VVS1,EX,VG,Faint,0.789,0.74,3.78*3.69*2.91,GIA,6345794017,1900,-0.22,1482,548.34,"Pinpoint, Cloud, Feather, Cavity"
40,F153/10449,Princess,D,0.32,VVS1,EX,VG,None,0.729,0.72,3.81*3.73*2.72,GIA,6292065321,2300,-0.2,1840,588.8,"Pinpoint, Chip"
41,F197/11016,Princess,E,0.31,VVS1,EX,G,None,0.757,0.73,3.70*3.58*2.71,GIA,6312660260,2100,-0.2,1680,520.8,"Pinpoint, Cavity"
42,F271/9405,Princess,E,0.31,VVS1,EX,G,None,0.716,0.71,3.93*3.75*2.69,GIA,1355525905,2100,-0.2,1680,520.8,"Pinpoint, Chip"
43,F75/3720,Princess,D,0.3,VVS1,VG,VG,Faint,0.716,0.73,3.77*3.63*2.60,GIA,2306687430,2300,-0.2,1840,552,"Cloud, Pinpoint"
44,F270/8930,Princess,D,0.3,VVS2,VG,VG,Faint,0.752,0.74,3.64*3.63*2.73,GIA,3355386244,2100,-0.2,1680,504,"Cloud, Feather, Pinpoint, Indented Natural"
45,F99/22844,Emerald,H,1.05,VVS1,EX,G,None,0.706,0.7,6.65*5.10*3.60,GIA,6207153193,5600,-0.33,3752,3939.6,"Pinpoint,Feather"
46,F37/35187,Emerald,E,1.01,VVS1,EX,VG,None,0.701,0.69,7.00*4.73*3.32,GIA,2314778356,9100,-0.37,5733,5790.33,Feather
47,F1/23808,Emerald,H,1.02,VVS2,EX,VG,None,0.685,0.65,6.33*4.81*3.29,GIA,2316733572,5400,-0.32,3672,3745.44,"Pinpoint, Feather"
48,F29/17144,Emerald,I,1.02,SI1,EX,EX,Faint,0.696,0.66,6.33*4.78*3.33,GIA,2317425920,4200,-0.32,2856,2913.12,"Twinning Wisp, Feather"
49,F64/16848,Emerald,F,0.93,SI1,EX,VG,None,0.687,0.66,6.43*4.74*3.26,GIA,7261420071,4700,-0.36,3008,2797.44,"Cloud, Crystal, Feather"
